"date","weighted","close","high","low","open","volume"
"2017-09-10 01:09:00","0.501323","0.4989","0.569","0.4588","0.5594","24813146.87"
"2017-09-11 01:09:00","0.510189","0.5628","0.569","0.479","0.4989","13731837.93"
"2017-09-12 01:09:00","0.603294","0.5918","0.6495","0.5408","0.5628","34890237.71"
"2017-09-13 01:09:00","0.523734","0.5613","0.5979","0.4714","0.5918","22654031.7"
"2017-09-14 01:09:00","0.4903","0.4494","0.576","0.441","0.5613","23728451.14"
"2017-09-15 01:09:00","0.443276","0.4797","0.5127","0.37","0.4494","32174255.59"
"2017-09-16 01:09:00","0.480982","0.4848","0.5128","0.452","0.4797","10781627.67"
"2017-09-17 01:09:00","0.485645","0.4958","0.5048","0.461","0.4848","5356020.42"
"2017-09-18 01:09:00","0.574738","0.6075","0.6171","0.4934","0.4958","22068230.21"
"2017-09-19 01:09:00","0.573324","0.5585","0.6145","0.5521","0.6075","10565680.92"
"2017-09-20 01:09:00","0.568192","0.5674","0.5911","0.541","0.5585","6653281"
"2017-09-21 01:09:00","0.508876","0.4985","0.5728","0.4653","0.5674","13514129.04"
"2017-09-22 01:09:00","0.493313","0.505","0.5178","0.471","0.4985","6901949.13"
"2017-09-23 01:09:00","0.534488","0.54","0.555","0.4935","0.505","6092149.64"
"2017-09-24 01:09:00","0.522192","0.5213","0.5424","0.5042","0.54","6041901.38"
"2017-09-25 01:09:00","0.549358","0.556","0.569","0.5208","0.5213","7539856.35"
"2017-09-26 01:09:00","0.53373","0.5146","0.56","0.5051","0.556","7950222.7"
"2017-09-27 01:09:00","0.535399","0.5509","0.5544","0.505","0.5146","8650909.35"
"2017-09-28 01:09:00","0.574885","0.5951","0.6147","0.5261","0.5509","15437603"
"2017-09-29 01:09:00","0.574974","0.5836","0.6103","0.541","0.5951","12467881.33"
"2017-09-30 01:09:00","0.621531","0.6223","0.6493","0.576","0.5836","15969866.22"
"2017-10-01 01:10:00","0.608146","0.6124","0.6318","0.591","0.6223","5925652.34"
"2017-10-02 01:10:00","0.588","0.578","0.6225","0.5638","0.6124","9092544.18"
"2017-10-03 01:10:00","0.540643","0.5606","0.582","0.512","0.578","8630146.94"
"2017-10-04 01:10:00","0.538204","0.5447","0.5697","0.515","0.5606","5304712.1"
"2017-10-05 01:10:00","0.544521","0.5424","0.5681","0.5161","0.5447","4345544.28"
"2017-10-06 01:10:00","0.528339","0.504","0.5632","0.4874","0.5424","6831300.18"
"2017-10-07 01:10:00","0.515248","0.5369","0.551","0.486","0.504","5280957.56"
"2017-10-08 01:10:00","0.522061","0.5","0.54","0.493","0.5369","5400311.2"
"2017-10-09 01:10:00","0.465439","0.469","0.505","0.433","0.5","10532685.58"
"2017-10-10 01:10:00","0.473398","0.476","0.4896","0.451","0.469","3382461.35"
"2017-10-11 01:10:00","0.475117","0.4816","0.4889","0.462","0.476","3021065.14"
"2017-10-12 01:10:00","0.432349","0.414","0.4867","0.38","0.4816","8673915.71"
"2017-10-13 01:10:00","0.424317","0.44","0.4476","0.4","0.414","6416802.07"
"2017-10-14 01:10:00","0.460899","0.4591","0.4845","0.4293","0.44","6667635.01"
"2017-10-15 01:10:00","0.432241","0.4383","0.461","0.41","0.4591","4354699.69"
"2017-10-16 01:10:00","0.442498","0.4489","0.4597","0.42","0.437","3408883.4"
"2017-10-17 01:10:00","0.460045","0.468","0.507","0.4311","0.4489","5656421.31"
"2017-10-18 01:10:00","0.450497","0.453","0.479","0.425","0.4686","5135366.44"
"2017-10-19 01:10:00","0.435759","0.4326","0.4677","0.41","0.4543","4894935.25"
"2017-10-20 01:10:00","0.405641","0.3995","0.4345","0.3857","0.4327","8105050.03"
"2017-10-21 01:10:00","0.360877","0.3882","0.4065","0.3193","0.3999","9892547.08"
"2017-10-22 01:10:00","0.392543","0.3823","0.408","0.3761","0.3882","4764777.05"
"2017-10-23 01:10:00","0.368518","0.388","0.394","0.34","0.3822","6131515.31"
"2017-10-24 01:10:00","0.447966","0.45","0.5059","0.3701","0.388","29222238.12"
"2017-10-25 01:10:00","0.44546","0.443","0.4769","0.4271","0.455","7419496.39"
"2017-10-26 01:10:00","0.432995","0.4168","0.457","0.4115","0.4434","5181760.47"
"2017-10-27 01:10:00","0.416475","0.4231","0.44","0.39","0.4155","4981146.23"
"2017-10-28 01:10:00","0.405563","0.3952","0.4309","0.391","0.4249","3727359.13"
"2017-10-29 01:10:00","0.388236","0.4024","0.415","0.367","0.3961","7988562.42"
"2017-10-29 24:10:00","0.400366","0.408","0.415","0.3851","0.4032","4209394.69"
"2017-10-30 24:10:00","0.397703","0.3918","0.4087","0.3891","0.4073","3872511.62"
"2017-10-31 24:10:00","0.372139","0.3644","0.3923","0.3517","0.3912","5509264.94"
"2017-11-01 24:11:00","0.350085","0.3661","0.3847","0.32","0.3637","10324161.19"
"2017-11-02 24:11:00","0.373268","0.3927","0.3967","0.3588","0.3642","6072020.33"
"2017-11-03 24:11:00","0.373305","0.3685","0.3937","0.3649","0.3937","3646845.37"
"2017-11-04 24:11:00","0.348782","0.3506","0.371","0.335","0.3695","5525771"
"2017-11-05 24:11:00","0.360594","0.3729","0.3795","0.3387","0.3506","5451385.89"
"2017-11-06 24:11:00","0.380772","0.3824","0.398","0.3621","0.374","7791821.31"
"2017-11-07 24:11:00","0.442894","0.473","0.4905","0.38","0.3824","25446432.19"
"2017-11-08 24:11:00","0.552217","0.5335","0.5999","0.464","0.4746","50128964.26"
"2017-11-09 24:11:00","0.506617","0.503","0.564","0.455","0.5338","33670596.7"
"2017-11-10 24:11:00","0.550842","0.6199","0.6249","0.4939","0.5011","17511551.95"
"2017-11-11 24:11:00","0.577437","0.5885","0.635","0.505","0.6237","20183170.3"
"2017-11-12 24:11:00","0.604421","0.5861","0.6394","0.5673","0.5861","18251885.46"
"2017-11-13 24:11:00","0.580046","0.6059","0.6189","0.525","0.5835","16593511.2"
"2017-11-14 24:11:00","0.683893","0.787","0.7873","0.6","0.6059","33027096.07"
"2017-11-15 24:11:00","0.799422","0.825","0.8967","0.706","0.787","48084616.43"
"2017-11-16 24:11:00","0.803557","0.791","0.8777","0.7263","0.825","41712614.92"
"2017-11-17 24:11:00","0.788978","0.819","0.849","0.7499","0.7912","23561110.19"
"2017-11-18 24:11:00","0.849211","0.8528","0.884","0.8047","0.8163","22691168.02"
"2017-11-19 24:11:00","0.931506","0.9531","0.984","0.85","0.851","30558575.93"
"2017-11-20 24:11:00","0.891027","0.8846","0.982","0.7463","0.9584","39379797.74"
"2017-11-21 24:11:00","0.904717","0.9009","0.9551","0.8524","0.8844","26686976.76"
"2017-11-22 24:11:00","0.86724","0.7791","0.915","0.779","0.9009","27029628.69"
"2017-11-23 24:11:00","0.736297","0.7835","0.7942","0.668","0.7791","33935405.32"
"2017-11-24 24:11:00","0.782899","0.8055","0.856","0.7051","0.7837","23880679.36"
"2017-11-26 24:11:00","0.934001","1.04","1.1","0.7882","0.8055","44909311.15"
"2017-11-27 24:11:00","1.180052","1.45","1.47","1.02","1.04","64625717.35"
"2017-11-28 24:11:00","1.401615","1.24","1.54","1.07","1.45","63751202.76"
"2017-11-29 24:11:00","1.255779","1.31","1.38","1.08","1.24","52871372.99"
"2017-11-30 24:11:00","1.357942","1.44","1.5","1.22","1.31","39031245.36"
"2017-12-01 24:12:00","1.40078","1.44","1.45","1.33","1.44","38912891.4"
"2017-12-02 24:12:00","1.712658","1.84","1.98","1.42","1.45","59893496.83"
"2017-12-03 24:12:00","2.404225","2.63","2.89","1.83","1.84","103291345.31"
"2017-12-04 24:12:00","3.256348","3.82","3.97","2.1","2.63","260234070.52"
"2017-12-05 24:12:00","4.511652","4.45","5.58","3.51","3.74","421344163.75"
"2017-12-06 24:12:00","3.711147","4.04","4.58","3.03","4.35","320704992.95"
"2017-12-07 24:12:00","4.13982","4.93","4.95","3.43","4.04","265688180.62"
"2017-12-08 24:12:00","4.64089","4.52","5.2","4.01","4.95","257716406.47"
"2017-12-09 24:12:00","4.057559","3.98","4.53","3.58","4.53","282707340.81"
"2017-12-10 24:12:00","4.234527","4.22","4.55","4","4.04","147499517.53"
"2017-12-11 24:12:00","4.616737","4.73","5.03","4.13","4.22","187219571.5"
"2017-12-12 24:12:00","4.128762","4.05","4.78","3.63","4.73","198218439.92"
"2017-12-13 24:12:00","3.720329","3.67","4.33","3.25","4.05","234297788.03"
"2017-12-14 24:12:00","3.750301","3.9","4.19","3.32","3.7","170564268.26"
"2017-12-15 24:12:00","3.679637","3.59","4.04","3.4","3.9","112269586.36"
"2017-12-16 24:12:00","3.675559","3.76","3.98","3.41","3.59","118889809.27"
"2017-12-17 24:12:00","4.011211","4.16","4.38","3.52","3.76","170934670.83"
"2017-12-18 24:12:00","4.797884","5.32","5.8","3.7","4.16","496624251.78"
"2017-12-19 24:12:00","5.008724","4.87","5.55","4.5","5.32","262318827.48"
"2017-12-20 24:12:00","4.917615","4.74","5.33","4.51","4.87","183549919.37"
"2017-12-21 24:12:00","3.141357","3.38","4.83","1.1","4.74","486846533.94"
"2017-12-22 24:12:00","3.743797","3.56","4.09","3.25","3.38","143725391.19"
"2017-12-23 24:12:00","3.242568","3.42","3.6","2.72","3.56","156905602.12"
"2017-12-24 24:12:00","3.53608","3.45","3.79","3.21","3.42","83480266.36"
"2017-12-25 24:12:00","3.619633","3.77","3.79","3.43","3.45","69066741.87"
"2017-12-26 24:12:00","3.913582","3.7","4.34","3.58","3.77","160528719.68"
"2017-12-27 24:12:00","3.435577","3.65","3.77","3.21","3.7","94241062.36"
"2017-12-28 24:12:00","3.667385","3.65","3.91","3.43","3.65","77358590.64"
"2017-12-29 24:12:00","3.214571","3.24","3.74","2.9","3.65","101368721.21"
"2017-12-30 24:12:00","3.472808","3.51","3.69","3.23","3.24","56908518.99"
"2017-12-31 24:12:00","3.837884","3.9","4.2","3.39","3.51","84251830.24"
"2018-01-01 24:01:00","4.054729","3.98","4.25","3.79","3.9","84449230.53"
"2018-01-02 24:01:00","4.026856","4.13","4.18","3.9","3.98","55821832.72"
"2018-01-03 24:01:00","4.096799","4.1","4.5","3.71","4.13","94278981.39"
"2018-01-04 24:01:00","3.914953","3.76","4.19","3.62","4.1","51367251.26"
"2018-01-05 24:01:00","3.96856","3.99","4.14","3.75","3.76","37675132.96"
"2018-01-06 24:01:00","4.167689","4.08","4.44","3.95","3.99","80942261.34"
"2018-01-07 24:01:00","3.82561","3.79","4.2","3.16","4.08","72494523.33"
"2018-01-08 24:01:00","3.662424","3.53","3.92","3.41","3.79","50959571.02"
"2018-01-09 24:01:00","3.446593","3.75","3.77","3.1","3.53","61960894.5"
"2018-01-10 24:01:00","3.380952","3.35","3.8","2.95","3.74","75688128.98"
"2018-01-11 24:01:00","3.511702","3.64","3.7","3.22","3.35","31502035.84"
"2018-01-12 24:01:00","3.889872","3.9","4.08","3.64","3.64","50484640.15"
"2018-01-13 24:01:00","3.748982","3.72","4.03","3.57","3.9","38775769.09"
"2018-01-14 24:01:00","3.592466","3.47","3.77","3.41","3.72","24637422.7"
"2018-01-15 24:01:00","2.738477","2.55","3.48","1.92","3.47","125424301.96"
"2018-01-16 24:01:00","2.400706","2.7","2.93","1.93","2.55","95448237.5"
"2018-01-17 24:01:00","2.82039","2.71","3.03","2.55","2.7","50048635.84"
"2018-01-18 24:01:00","2.685617","2.66","2.91","2.4","2.71","36440937.68"
"2018-01-19 24:01:00","2.961807","2.99","3.15","2.66","2.66","41106340.56"
"2018-01-20 24:01:00","2.774446","2.77","2.99","2.6","2.99","33740924.74"
"2018-01-21 24:01:00","2.478442","2.45","2.91","2.12","2.77","46253522.93"
"2018-01-22 24:01:00","2.435849","2.51","2.64","2.2","2.45","31850361.33"
